"title","totalScore","reviewsCount","price","street","city","categoryName","rank","popularTimesLiveText"
"Mitsi Cafe-Bistro-Bar","4.6","501","€10–20","Marktpl. 1","Vaterstetten","Bistro","67",
"Restaurant Olympia","4.5","1012","€20–30","Heimstettner Str. 2a","Kirchheim bei München","Greek restaurant","66",
"Landlust Wirtshaus am Reitsberger Hof","4.7","1327","€20–30","Baldhamer Str. 99","Vaterstetten","Bavarian restaurant","68",
"SAIZU III asian fusion cuisine","4.7","224","€20–30","Wasserburger Str. 37","Haag in Oberbayern","Asian fusion restaurant","65",
"Hotel-Gutsgasthof Stangl","4.5","1428","$101","Münchener Str. 1","Vaterstetten","Hotel","63",
"Wirtshaus zur Poinger Einkehr","4.5","897","€20–30","Plieninger Str. 22","Poing","Restaurant","62",
"Sultan Imbiss","4.6","347","€1–10","Gruber Str. 62A","Poing","Snack bar","61","Not busy"
"EAT HAPPY","4.7","3",,"Am Lerchenfeld 3","Vaterstetten","Sushi takeaway","64","Now: Usually a little busy"
"La Locanda Ischitana","4.8","330","€20–30","Schlehenring 18","Kirchheim bei München","Italian restaurant","59",
"LANDHOTEL KASTENWIRT","4.6","310",,"Marktpl. 21","Grafing","Hotel","57",
"Poseidon Feldkirchen München GmbH","4.4","1178","€20–30","Bahnhofstraße 19","Feldkirchen","Greek restaurant","60",
"Flugwerk","4.5","3131","€20–30","Sonnenstraße 2","Feldkirchen","Beer garden","58",
"Schloss Hart - deine Tapasbar!","4.8","309","€20–30","Hart 6","Edling","Tapas restaurant","55",
"EAT HAPPY","4.1","16","€10–20","Altstadtpassage 6","Ebersberg","Sushi takeaway","54",
"Estrella Burgerbar","4.6","315","€20–30","Münchner Str. 6","Kirchseeon","Bar & grill","56",
"Mother India Indisches Restaurant","4.8","1001","€20–30","Gschmeidmachergasse 5","Markt Schwaben","Indian restaurant","52",
"Döner und Grillhof","4.6","138","€1–10","Gewerbegebiet Forsting-Südost, Gewerbering 2","Pfaffing","Doner kebab restaurant","53",
"Craft Food Truck","4.9","26","€1–10","Gartenstraße 2, Am Schammacher Feld 7","Grafing","Restaurant","51",
"Bauer Hotel & Restaurant","4.6","1509","$135","Münchner Str. 6","Feldkirchen","Hotel","50",
"Landgasthof und Pension Hartmann","4.4","839",,"Kirchenstraße 6","Feldkirchen","Bavarian restaurant","49","Not busy"
"Restaurant Purfinger Haberer","4.8","1063",,"Neufarner Str. 20","Vaterstetten","German restaurant","48",
"Gasthaus “Zum Altschütz”","4.5","694","€20–30","Verdistraße 43","Vaterstetten","Bavarian restaurant","47",
"Restaurant Mythos","4.8","923","€20–30","Seifensiedergasse 4","Markt Schwaben","Greek restaurant","46",
"Perfetto Weinbar & Cucina GmbH","4.8","25","€30–40","Leibstraße 53","Haar","Restaurant","45",
"Der Wolfsbarsch","4.7","427","$$","Wendelsteinstraße 10","Vaterstetten","Seafood restaurant","44","Busier than usual"
"Zum Schmankerlwirt","4.7","1500","€20–30","Dianastraße 5A","Grasbrunn","Bavarian restaurant","43",
"Restaurant Seegmüller","3.4","440","€10–20","Heimstettener Str. 10","Vaterstetten","Restaurant","41","Not busy"
"Curry 62","4","18","€1–10","Posthalterring 22","Vaterstetten","Doner kebab restaurant","39",
"Bavarian Tofu by Setia","4.9","17",,"Benzstraße 1","Kirchheim bei München","Tofu shop","42",
"mömax Restaurant Aschheim","4.2","139","€10–20","Eichendorffstraße 36","Aschheim","Restaurant","31","Now: Usually not too busy"
"Ilios Restaurant","4.5","973","€20–30","Bretonischer Ring 7","Grasbrunn","Greek restaurant","35",
"Wirth Z' Moosham","4.6","220","$122","Isener Str. 4","Kirchdorf","Hotel","30",
"Marina Greek Takeaway Restaurant","4.9","43","€10–20","Kapellenstraße 13","Feldkirchen","Restaurant","22","Now: Usually a little busy"
"Containerkitchen - Catering - Event Solutions - München","4.9","66",,"Hauptstraße 29","Kirchheim bei München","Caterer","28",
"TUVAS DÖNER","5","15","€1–10","Hauptstraße 41","Kirchseeon","Doner kebab restaurant","18",
"Kinh Do","4","116","€10–20","Altstadtpassage 6|7","Ebersberg","Asian restaurant","19",
"Hotel Neuwirt","4.4","686","$115","Münchner Str. 4","Zorneding","Hotel","17",
"Alte Post","4.5","301","€10–20","Marienpl. 8","Ebersberg","Restaurant","16","Not too busy"
"Gasthaus Schlammerl","4.5","595","€20–30","Wolfesing 3","Zorneding","Restaurant","15",
"Kentucky Fried Chicken","4","1723","€10–20","Am Lerchenfeld 8","Vaterstetten","Fast food restaurant","14","A little busy"
"La Famiglia","4.2","31","€10–20","Zaißing 6","Steinhöring","Italian restaurant","12",
"Istanbul Kebap","3.9","36","€1–10","Hauptstraße 2","Poing","Turkish restaurant","11","Now: Usually not busy"
"Trattoria La Tavernetta","4.5","33","€20–30","Marktpl. 11","Vaterstetten","Italian restaurant","13",
"Restaurant Afitos","4.9","32","€10–20","Hermann-Haage-Weg 2","Zorneding","Restaurant","9",
"LoKanta","4.9","1041","€1–10","Bahnhofstraße 4","Zorneding","Kebab Shop","10",
"Turkisch Grill by Sayed","4.5","27","€1–10","Hauptstraße 23","Hohenlinden","Doner kebab restaurant","8",
"Alte Posthalterei Zorneding","4.6","261","$137","Anton-Grandauer-Straße 9","Zorneding","Guest house","6",
"Restaurant @ Hotel Neuwirt","4.4","56","€20–30","Münchner Str. 4","Zorneding","Restaurant","5",
"MIRAN Kebab Haus","4.8","242","€1–10","Münchener Str. 4","Forstinning","Doner kebab restaurant","4","Not busy"
"BATTO POING | VIETFOOD - FINE & GOOD","4.1","29","€10–20","Alte Gruber Str. 2-6","Poing","Restaurant","7",
"Restaurant Dalmatino - Ebersberg(Warme Küche von 11:30 bis 21:30)","4.7","739","€20–30","Am Priel 1","Ebersberg","Restaurant","2","Not busy"
"MR.MING","4.6","87","€30–40","Am Lerchenfeld 5","Vaterstetten","Japanese restaurant","3",
"Pfaffinger Hof","4.7","533","$157","Hauptstraße 2","Pfaffing","Inn","1",
"Eiscafé ROMA 2 GO","4.7","166","€1–10","Rosengasse 5","Sinsheim","Ice cream shop","159",
"Marina Kissinger Kaffee & mehr...","4.6","315",,"Krainbachhöfe 3","Schwaigern","Restaurant","160",
"La Oliva Bodega","4.3","696","$$","Franz-Gurk-Straße 17","Östringen","Spanish restaurant","158",
"Gaststätte zum Adler, Bad Wimpfen","4.6","88","€10–20","Hauptstraße 49","Bad Wimpfen","German restaurant","156",
"Restaurant Albatros","4.6","122","€30–40","Birkenhof","Östringen","Restaurant","157",
"WOODFIRE Western Saloon Bad Rappenau","4.4","3203","€20–30","Schwaigerner Str. 2","Bad Rappenau","American restaurant","154",
"Weingut Unser","4.6","14",,"Reichertsgraben 2","Leingarten","Winery","153",
"Restaurant Akropolis","3.9","394","€10–20","Kurpfalzstraße 76","Sinsheim","Greek restaurant","155",
"Dominikaner","4","85",,"Babstadter Str. 23","Bad Rappenau","Restaurant","151",
"Gaststätten, Restaurants da Pino","4.5","2",,"Kirchenstraße 16","Bad Rappenau","Restaurant","152",
"Subway","4.2","964","€10–20","Neulandstraße 24","Sinsheim","Sandwich shop","150","Not too busy"
"Pizza Blitz","4.5","115","€10–20","Kuhngasse 1","Östringen","Pizza delivery","149",
"Eiscafé ROMA","4.5","444","€1–10","Bahnhofstraße 24","Sinsheim","Ice cream shop","146",
"Super Pizza & China Service","2.3","217","€10–20","Paul-Gerhardt-Straße","Schwaigern","Pizza delivery","148","Now: Usually a little busy"
"Hotel Zum Alten Rentamt","4.6","155",,"Schloßstraße 6-8","Schwaigern","Hotel","145",
"Weinbau Pavillon","4.2","347","€20–30","Oststraße 5","Gundelsheim","Wine bar","144",
"Speedy Pizza Service Heilbronn","2.9","190","€10–20","Steinhaldestraße 2","Heilbronn","Pizza restaurant","147","Now: Usually not busy"
"Pizzeria Lindenhof Da Angela","4.6","244","€20–30","Dorfpl. 4","Gemmingen","Pizza restaurant","141",
"Pizzeria Mare e Monte","4.1","621","€20–30","Würzburger Str. 52","Heilbronn","Italian restaurant","143",
"Gasthof zum Ritter","4.5","387","£81","Neckarstraße 5","Haßmersheim","Restaurant","142",
"Hotel-Restaurant am Rosengarten Bad Wimpfen","3.7","15","€10–20","Osterbergstraße 16","Bad Wimpfen","Italian restaurant","139",
"Da Enzo Pizzeria Ristorante","4.4","118","€1–10","Heilbronner Str. 90","Leingarten","Italian restaurant","137",
"Pizza Mano","3","163","€10–20","Heinsheimer Str. 19","Bad Rappenau","Pizza Takeout","140",
"Zehntscheune","4.6","382","$117","Mettengasse 55","Sinsheim","Hotel","138",
"Pizza King Massenbachhausen","3.3","84","€10–20","Heilbronner Str. 33","Massenbachhausen","Pizza delivery","136","Now: Usually not busy"
"Pizza Wish Offenau","3.1","161","€1–10","Mühlweg 9","Offenau","Pizza restaurant","134",
"La Giara","3.7","162","€10–20","Kirchenstraße 16","Bad Rappenau","Pizza restaurant","132","Now: Usually not busy"
"Gaststätte La Molisana","4.5","192","€10–20","Hauptstraße 11","Dielheim","Italian restaurant","133",
"Sushi Palace Offenau","4.5","197","€20–30","Hauptstraße 3","Offenau","Restaurant","135","Not busy"
"Döner & Pizzeria ""Lavas"" Leingarten","4.3","213","€1–10","Heilbronner Str. 36","Leingarten","Restaurant","131","Now: Usually not too busy"
"Ristorante Da Luigi","4.6","201","€20–30","Heilbronner Str. 72","Leingarten","Italian restaurant","130",
"Osoy Pizza Kebap Haus","4.3","186","€1–10","Sinsheimer Str. 22","Kirchardt","Turkish restaurant","128","Now: Usually not too busy"
"Bistro Cafe Trofa","4.7","249","€20–30","Brettener Str. 55","Eppingen","Portuguese restaurant","127",
"Gemminger Kebap Haus","4.5","519","€1–10","Schwaigerner Str. 2","Gemmingen","Turkish restaurant","129","Not too busy"
"Ciccio’s Pizza Service","4.4","276","€1–10","Hauptstraße 94","Sinsheim","Pizza restaurant","126",
"Gaststätte zum Lamm","4.6","285","€20–30","Marktstraße 1","Schwaigern","German restaurant","124",
"Da Giovanni Capri","4.5","889","€20–30","Hauptstraße 49","Mühlhausen","Italian restaurant","125",
"Italienisches Restaurant & Pizzeria Ankers Inh. Sadat Hoxha","4.6","371","€10–20","Corneliastraße 18","Bad Wimpfen","Italian restaurant","123","Not busy"
"Pizzeria-Restaurant- Hotel Waibstadter Hof","4.3","508","€10–30","Hauptstraße 4","Waibstadt","Pizza restaurant","122",
"Ristorante Da Pino","4.5","115","€10–20","Fleckensteinstraße 12","Bad Wimpfen","Italian restaurant","120",
"McDonald's","3.2","3114","€10–20","Wilhelm-Hauff-Straße 45","Bad Rappenau","Fast food restaurant","121","Not busy"
"Eiscafé Pizzeria Il Colosseo Gundelsheim","4.5","572","€10–20","Schloßstraße 8","Gundelsheim","Italian restaurant","118",
"La Mozzarella","4.5","285","€10–20","Hirschhornstraße 26","Sinsheim","Italian restaurant","119",
"Heckerstuben im Wasserschloss Eichtersheim","4.9","150","$$$","Schloßstraße 1","Angelbachtal","Restaurant","116",
"Ristorante Pizzeria Jakova","4.5","471","€10–20","Burggasse 36","Sinsheim","Pizza restaurant","115",
"Restaurant Die Goldene Rose","4.7","100","€10–20","Eppinger Str. 1/1","Gemmingen","Italian restaurant","117",
"Griechisch-Bulgarisches Restaurant Zimt und Koriander","4.6","179","€10–20","Schindwaldstraße 30","Sinsheim","Restaurant","114",
"Ristorante La Carrozza","4.5","879","€10–20","Burghäldeweg 1","Sinsheim","Mediterranean restaurant","112","Not busy"
"Zum Bahnhof","4.6","237","€20–30","Bahnhofstraße 57","Gemmingen","German restaurant","113","Now: Usually not too busy"
"Sarvan Haveli Indian Restaurant","4.6","383","€10–20","Jan-Klep-Straße 1","Wiesloch","Indian restaurant","111",
"Griechisches Restaurant Hotel Neckarblick","4.6","247","€20–30","Erich-Sailer-Straße 48","Bad Wimpfen","Greek restaurant","110",
"Restaurant & Bar Salzwerk","4.3","9","€20–30","Salinenstraße 33","Bad Rappenau","Restaurant","108",
"Tank & Rast Gastronomie",,"0",,"Schwarzwaldstraße 5 BAB6","Sinsheim","Restaurant","107",
"Rustica Ristorante - Pizzeria","3.8","69","€10–20","Frankenstraße 6","Bad Rappenau","Restaurant","109",
"Schwabs Country Inn","4.4","134","€10–20","Gimperner Weg 4","Bad Rappenau","Restaurant","104",
"Keisari Sinsheim","4.7","200",,"Bahnhofstraße 30","Sinsheim","Sushi restaurant","105",
"Zipse Sinsheim-Weiler","4.5","397","$88","Kaiserstraße 83","Sinsheim","Restaurant","106",
"Gaststätte Adler","4.4","133","€10–20","Hauptstraße 38","Waibstadt","German restaurant","102","Now: Usually not busy"
"Asia City","4.2","2729","€20–30","Neulandstraße 34A","Sinsheim","Asian restaurant","103","Not busy"
"China-Restaurant Shanghai","4.7","560","€10–20","Kleinbrückentorpl. 5","Eppingen","Chinese restaurant","101",
"Restaurant Olympos Clubhaus FC Odenheim","4.6","189","€20–30","Am Felsenkeller 12","Östringen","Restaurant","100",
"Restaurant Lavendel","3.7","54",,"Augrund 2","Sinsheim","Restaurant","99",
"Gasthaus zur Palme","4.5","181","€20–30","Rappenauer Str. 10","Eppingen","Restaurant","98",
"Pam's Gaststätte im Tennisclub","4.6","48","€10–20","Weinbrennerstraße","Bad Rappenau","German restaurant","96",
"Restaurant NBH","3.8","4",,"Schloßstraße 1","Neckarbischofsheim","German restaurant","95",
"Hammberger Hof Restaurant","4.2","449","€20–30","Reihener Str. 60","Ittlingen","Restaurant","97",
"Gaststätte Ochsen","4.5","274","€20–30","Hindenburgpl. 1","Schwaigern","German restaurant","94",
"Landhotel am Treidelpfad","4.4","642","$92","Ob. Str. 12","Haßmersheim","Hotel","93",
"Gasthaus zum Neckartal","4.7","458","€20–30","Neckartalweg 8","Haßmersheim","German restaurant","92",
"Gasthaus Ratskeller","4.5","235","€10–20","Neulandstraße 6","Kirchardt","Restaurant","90",
"Royal Pizza Abhole Und Heimservice Mühlhausen","4.4","46","€10–20","Hauptstraße 60","Mühlhausen","Pizza restaurant","89",
"Restaurant Drei Könige Sinsheim","4.6","384","€20–30","Bahnhofstraße 6","Sinsheim","Greek restaurant","91",
"XILE Asia Restaurant","4.5","167","€20–30","Heilbronner Str. 19","Kirchardt","Restaurant","88",
"Mare Nostrum Im Gasthaus zum Lamm","4.8","231","€30–40","Hauptstraße 93","Sinsheim","Mediterranean restaurant","87","Busier than usual"
"FOOD E52","4.7","131","€1–10","Carl-Benz-Straße 16","Eppingen","Turkish restaurant","85",
"Gaststätte Restaurant Zum Schinderhannes","4.3","144","$$","Hauptstraße 24","Waibstadt","Restaurant","86",
"China Palace Restaurant","4.1","378","€10–20","Babstadter Str. 3","Bad Rappenau","Chinese restaurant","83","Not too busy"
"Restaurant Neunzehn","4.1","43","€20–30","Ehrenbergstraße 25a","Bad Rappenau","Restaurant","82",
"Zum Krug - Sportsbar & Restaurant","4.2","54","€10–20","Wannenweg 6","Gemmingen","Restaurant","84",
"Clubhaus Horrenberg","4.5","421","€20–30","Ortsstraße 77","Dielheim","Restaurant","79","Now: Usually not busy"
"Restaurant Stüble Bad Rappenau","3.3","79","€10–20","Herbststraße 6/1","Bad Rappenau","Indian restaurant","81",
"CACTUS - Cocktails & Burger","4.4","495","€20–30","Kirchpl. 6","Bad Rappenau","Restaurant","78",
"Pizza und Kebap Haus","4.2","243","€1–10","Hindenburgpl. 5","Schwaigern","Turkish restaurant","76","Now: Usually not busy"
"China-Schnellrestaurant Panda","4.2","129","€10–20","Hauptstraße 122","Sinsheim","Mandarin restaurant","77","Not too busy"
"Restaurant Talschenke","4.5","192","€30–40","Talstraße 21","Eppingen","Restaurant","75",
"Ittlinger Tor","4.6","141","€20–30","Sägmühlstraße 22","Ittlingen","Restaurant","74",
"Mühltal-Restaurant","4.4","168","€30–40","Am bhf 20","Sinsheim","Restaurant","73",
"Der Grüne Baum Restaurant","4.7","63",,"Heilbronner Str. 34","Sinsheim","Restaurant","71",
"Steinsberg Castle","4.6","1762","€20–30","Steinsberg 1","Sinsheim","German restaurant","72",
"Restaurant Hirsch","4.5","218",,"Kraichgaustraße 30","Sinsheim","Restaurant","70",
"Italian Steak-Restaurant Picasso","4.5","624","$$$","Hauptstraße 82","Bad Wimpfen","Italian restaurant","69",
"Zum Lamm","3.3","110","$83","Schloßstraße 27","Gundelsheim","Hotel","67",
"Restaurant Delos","4.6","341","€20–30","Hauptstraße 3","Offenau","Greek restaurant","68",
"Benders Schlemmer-Scheune & Hofladen","4.6","60",,"Dreibrücken 1","Mühlhausen","Farm shop","66","Now: Usually not busy"
"FILIGRAN Restaurant","4.5","140","€10–20","Bruchsaler Str. 38","Mühlhausen","Restaurant","64",
"Bräustüble Restaurant","4.6","125","€20–30","Schloßstraße 14","Gundelsheim","Restaurant","65",
"Indisch Punjabi Dhaba","4","44",,"Jan-Klep-Straße 1","Wiesloch","Indian restaurant","61",
"Restaurant Zur Traube","4.6","456","€20–30","Sinsheimer Str. 3","Bad Rappenau","German restaurant","62",
"Restaurant Kassandra","4.5","322","€20–30","Haardtring 256","Darmstadt","Greek restaurant","103",
"Indisches Restaurant Swagat","4.8","283","€20–30","Dettinger Str. 52/1","Kirchheim unter Teck","Modern Indian restaurant","39",
"Indian Palace Heppenheim","4.4","151","€20–30","Kalterer Str. 7","Heppenheim","Indian restaurant","120",
"Uppal Pizza Express Metzingen","3.5","108","€10–20","Gutenbergstraße 10","Metzingen","Pizza delivery","160",
"Flugplatz Restaurant Fellini Hahnweide","4.1","448","€10–20","Klaus-Holighaus-Straße 59","Kirchheim unter Teck","Italian restaurant","165",
"Deva - Turkish restaurant","4.9","83","€20–30","Fabrikstraße 14","Wendlingen","Turkish restaurant","164",
"Restaurant Hopfenburg","3.9","66","$$","Hopfengartenstraße 94","Reutlingen","Greek restaurant","163",
"Zur Linde","4.6","204",,"Nürtinger Str. 24","Oberboihingen","German restaurant","162",
"Restaurant Hotel Ferienwohnung Alte Bauernstub'n","3.5","59",,"Bahnhofstraße 19","Lenningen","Restaurant","161",
"Hotel Restaurant Metzgerei Rößle","4.6","242","$122","Uracher Str. 30-32","Dettingen an der Erms","Restaurant","159",
"Landgasthof Rössle Metzgerei Häringen","4.7","2239","€20–30","Häringen 13","Weilheim an der Teck","Swabian restaurant","157",
"Pizza House Nürtingen","4.8","23","€10–20","Steinengrabenstraße 3","Nürtingen","Pizza Takeout","158",
"Hotel-Restaurant Löwen Bad Boll","4.4","148",,"Hauptstraße 46","Boll","Hotel","156",
"Restaurant & Weingut Kräuterbühl","4.3","232","€20–30","Im Tiefenbach 45","Nürtingen","Swabian restaurant","154",
"TSV Gaststätte Heiligenbronn Inh. Fam. Schaller","4.5","292","€20–30","Im Heiligen Bronn 1","Neckartenzlingen","Restaurant","153",
"Asia Luc Si","4.1","275","€10–20","Eisenbahnstraße 24","Metzingen","Restaurant","155",
"China-Restaurant Kaiser-Palast","4.2","298","€10–20","Karlstraße 7","Metzingen","Chinese restaurant","152",
"Ristorante Pizzeria Schützenhaus","4.4","313","€10–20","Im Ententäle 1","Bad Urach","Italian restaurant","150",
"Ristorante Valentino","4.5","297","$$$","Heiligkreuzstraße 18","Nürtingen","Italian restaurant","148",
"Avada Sushi und asiatische Küche","4.5","1000","€20–30","Neckarstraße 1","Nürtingen","Sushi restaurant","149","Not busy"
"Klingler Gastronomie","4.7","579","€20–30","Nürtinger Str. 48/1","Nürtingen","Swabian restaurant","151",
"Gasthaus zum Uhlberg","4.6","498","€20–30","Schönaicher Str. 18","Aichtal","Restaurant","147","Not busy"
"Braurevolution GmbH","4.8","101",,"Faberweg 24/1","Kirchheim unter Teck","Brewery","146",
"Ristorante Pizzeria La Pasta","4.7","369","€20–30","Nürtinger Str. 15","Oberboihingen","Italian restaurant","145",
"La buona Forketta","4.4","343","€10–20","Schillerpl. 5","Nürtingen","Italian restaurant","144","Now: Usually not too busy"
"Blumenhaus Restaurant","4.8","364","€10–20","Steinenbergstraße 15","Nürtingen","Middle Eastern restaurant","143","Now: Usually not too busy"
"Linde","4.5","285","€20–30","Friedrich-Ebert-Straße 6","Dettingen an der Erms","Restaurant","142",
"Cafe Restaurant Ausflugslokal Waldschlößchen","3.8","13",,"Burgstraße 36","Bensheim","Restaurant","143",
"Höhenrestaurant im Weilerhau","4.1","420","€20–30","Im Weilerhau Str. 1","Filderstadt","European restaurant","141",
"Aral","3.2","99",,"Mainzer Str. 140","Worms","Gas station","142","Not too busy"
"Khun-Pim Thai-Restaurant","4.6","580","€10–20","Gutenbergstraße 39","Metzingen","Thai restaurant","140","Now: Usually not busy"
"China Restaurant Fan","4.6","366","€10–20","Mühlwiesenstraße 10","Metzingen","Chinese restaurant","139",
"Eisboutique Da Carlo","4.4","431","€1–10","Hochschildstraße 2","Biblis","Sundae restaurant","141",
"Achtender Restaurant und Hotel in Metzingen","4.6","784","$107","Stuttgarter Str. 34","Metzingen","Restaurant","138",
"Hotel Restaurant Bauer Großbettlingen","4.7","506","$137","Nürtinger Str. 41","Großbettlingen","Restaurant","137","A little busy"
"Hotel Restaurant Traube","4.8","261","$129","Hauptstraße 24","Neuffen","Hotel","135",
"Gasthaus Löwen","4.7","437","€20–30","Esslinger Str. 4","Unterensingen","German restaurant","136",
"Restaurant Heil-Bar","3.8","8",,"b. den Thermen 10","Bad Urach","Restaurant","134",
"Schlosscafe Restaurant Cafe Biergarten Festräume","4.6","315","€10–20","Am Thermalbad 3","Beuren","Restaurant","132","Not busy"
"Restaurant Adler","4.4","281","€10–30","Stuttgarter Str. 22","Metzingen","Greek restaurant","133","Now: Usually not busy"
"Restaurant Hubertus Schützenhaus","4.3","155","€20–30","Bongertwasen 7","Metzingen","Restaurant","131",
"Restaurant YIA MAS","4.5","236","€20–30","In d. Vorstadt 9","Reutlingen","Greek restaurant","130",
"GREEKlish - Sportheim Mittelstadt","4.5","364","€10–20","Oberer Auchtert 2 Gewand, Oberer Auchtert (Gewand) 2","Reutlingen","Greek restaurant","127",
"Brennbar P&B","4.3","375","€10–20","Heiligkreuzstraße 11","Nürtingen","Restaurant","128",
"Restaurant Sportgaststätte Lettenwäldle Beuren","4.1","341","€20–30","Lettenwäldle 1","Beuren","Restaurant","129",
"King Pizza","2.5","11","€10–20","Stuttgarter Str. 200","Kirchheim unter Teck","Takeout Restaurant","126","Now: Usually not busy"
"Zur Glocke - Restaurant (Pizzeria)","4.6","468","€20–30","Dreikönigstraße 2","Kirchheim unter Teck","Italian restaurant","125","Not too busy"
"Restaurant Abessina","4.7","469","€20–30","Plochinger Str. 14A","Nürtingen","Ethiopian restaurant","124",
"Gasthaus zum Adler","4.4","355","€20–30","Harthäuser Str. 2","Aichtal","German restaurant","123",
"Restaurant Yamas im SC Olympia","4","106",,"Am Birkengarten 3","Lorsch","Restaurant","140",
"Hünkar Restaurant","4.4","359","€20–30","Gaußstraße 25","Kirchheim unter Teck","Turkish restaurant","122","Not busy"
"Restaurant Berg","4.6","384","€10–20","Nürtinger Str. 13","Großbettlingen","Restaurant","121",
"Restaurant Casablanca","4.8","44","€20–30","Valckenbergstraße 13","Worms","Moroccan restaurant","139",
"Tank & Rast Raststätte Wonnegau West","3.7","2977",,"Wonnegau West, A61","Worms","Rest stop","138","Not too busy"
"Mediterranean restaurant & coffee","4.9","176","€20–30","Außerhalb 56","Bensheim","Greek restaurant","137",
"Restaurant Hellas","4.3","171","€10–20","Ludwigstraße 17","Worms","Greek restaurant","135",
"Restaurant Jägerhof","3.6","81",,"Außerhalb 8a","Biblis","Restaurant","136",
"Drachen Pagode 龙之泉","4","1437","€20–30","Schönauer Str. 20-22","Worms","Asian restaurant","134","Not too busy"
"Il Giardino Worms","3.9","352","€10–20","Landgrafenstraße 53","Worms","Italian restaurant","133",
"Sladjana E.","4.2","69","€10–20","Häfnerstraße 9","Worms","Restaurant","131",
"Asia Khan asiatisches Restaurant","4.2","1750","€30–40","Lampertheimer Str. 21","Bürstadt","Chinese restaurant","130",
"Hotel & Restaurant Brandhof","4.3","698","$137","Stettbacher Tal 61","Seeheim-Jugenheim","Restaurant","129",
"Pizzeria Milano","3.2","91","€10–20","Heinrichstraße 21","Lorsch","Restaurant","132",
"Oma Magret Die Wein- und Kaffeebar","4.5","170","€20–30","Großer Markt 9","Heppenheim","Restaurant","128",
"Danni Pizzeria & Restaurant im Abenheimer Hof","4.1","64","€1–20","Welschgasse 28","Worms","Restaurant","126",
"KOI Asian Food & Sushi Bar - Worms","4.6","743","€20–30","Kämmererstraße 48","Worms","Asian restaurant","127","Not busy"
"Ristorante Bella Capri","4.4","294","$$","Hügelstraße 51","Lorsch","Restaurant","124",
"Hotel Restaurant Lindenhof - Andelko Pehar","4.5","181","£91","Lindenstraße 33","Biblis","Hotel","125",
"Zur Alten Mühle","4.4","278","€20–30","Siegfriedstraße 305","Heppenheim","German restaurant","123",
"Asia Restaurant New Palace","4.3","841","€20–30","Wormser Str. 14","Bensheim","Chinese restaurant","121",
"Wirtshaus ""Im Weißen Kreuz""","4.6","426","€20–30","Marktpl. 2","Lorsch","Croatian restaurant","122",
"China Restaurant Chinahaus","4.3","74","€10–20","Esslinger Str. 3","Wolfschlugen","Chinese restaurant","120",
"China-Restaurant XiaoXia","4.6","203","€10–20","Dreikönigstraße 4","Kirchheim unter Teck","Chinese restaurant","118",
"Gasthaus Schwanen","4.5","265",,"Nürtinger Str. 18","Neckartailfingen","Restaurant","119",
"Indisches Restaurant Taj","4.8","96","€20–30","Ihmenfeldstraße 4","Reutlingen","Indian restaurant","117",
"Restaurant Schäferhof","4.7","428","€20–30","Boller Str. 4","Zell unter Aichelberg","German restaurant","116",
"Gasthof Lamm","4.7","169",,"Weilheimer Str. 6","Neidlingen","Restaurant","115",
"À la carte Restaurant ""Schupfnudl""","4.5","34","€20–30","Best Western Plus Hotel Am Schlossberg, Europastraße 13","Nürtingen","Restaurant","114",
"Hotel-Restaurant Pflum Werner Pflum","4.7","10",,"Steinengrabenstraße 6","Nürtingen","Restaurant","112",
"Restaurant Neckarau","4.5","645","€20–30","Mühlstraße 39","Nürtingen","Greek restaurant","113",
"Restaurant Corfu","4.6","408","€10–20","Florianstraße 62","Metzingen","Greek restaurant","111",
"Chiko Sushi house","4.5","260","€20–30","Uhlbergstraße 19","Filderstadt","Asian restaurant","110","Now: Usually not busy"
"Restaurant Alte Scheune","4.6","251","€20–30","Mittelstädter Str. 23","Riederich","Italian restaurant","108",
"Stadthotel Waldhorn | Restaurant Holz & Feuer","4.5","734","$150","Marktpl. 6-8","Kirchheim unter Teck","Restaurant","109",
"Restaurant Leonardo","4.6","260","€20–30","Am Heilbrunnen 47","Reutlingen","Italian restaurant","106",
"Restaurant Delphi","4.4","415","€20–30","Marktstraße 6","Nürtingen","Greek restaurant","107","Now: Usually not too busy"
"Restaurant Schwarz Weiß","4.3","124","€20–30","Marie-Curie-Straße 24","Reutlingen","Restaurant","105",
"MEZZO","4.4","236","$$","b. d. Martinskirche 8","Metzingen","Restaurant","104",
"Chiang Mai Thai restaurant","4.4","221","€20–30","Neuffenstraße 22","Wendlingen","Thai restaurant","103",
"PUNJABI HAUS Worms","3.9","145","€10–30","Petersstraße 27","Worms","Indian restaurant","119",
"Asia Fu Loc","2.6","53","€10–20","Stuttgarter Str. 1","Kirchheim unter Teck","Restaurant","101",
"Pizza Quick Bensheim","3","36",,"Neugasse 4","Bensheim","Italian restaurant","117",
"China Restaurant Phönix","4.5","3070","€20–30","Schleieräcker 1","Neckartenzlingen","Chinese restaurant","102","Not busy"
"Gasthaus ""Zur Traube"" - Wolfgang Mink","4.6","572",,"Nibelungenstraße 265","Lautertal","Inn","116",
"Weinhaus zum Zwicker","4.7","159","€40–50","Gewerbeschulstraße 3","Worms","German restaurant","113",
"Zur Linde","4.5","106","€10–20","Reichenbacher Str. 28","Lautertal","German restaurant","114",
